<<<<<<< HEAD
Apple 142.72
Microsoft 307.38
Tesla 747.58
Amazon 146.66
Google 2814.96
Facebook 321.19
Netflix 413.07
Nvidia 487.51
AMD 104.88
Intel 55.47
Cisco 21.93
Oracle 102.81
IBM 132.52
Salesforce 200.85
Adobe 571.09
Spotify 193.59
PayPal 161.30
Square 164.62
Zoom 258.09
Snap 19.51
Uber 31.83
Lyft 24.66
Shopify 1216.51
Twilio 319.23
Twitter 43.22
Pinterest 21.46
Palantir 31.02
Airbnb 135.04
DoorDash 82.35
Dropbox 17.27
=======
Apple 99.35
Microsoft 313.20
Tesla 782.88
Amazon 137.69
Google 2804.84
Facebook 344.23
Netflix 414.96
Nvidia 521.66
AMD 100.57
Intel 29.29
Cisco 10.42
Oracle 109.62
IBM 130.27
Salesforce 220.42
Adobe 598.20
Spotify 188.70
PayPal 180.67
Square 184.40
Zoom 266.48
Snap 35.99
Uber 32.71
Lyft 29.96
Shopify 1247.40
Twilio 303.49
Twitter 27.23
Pinterest 33.72
Palantir 32.66
Airbnb 166.94
DoorDash 60.22
Dropbox 53.89
>>>>>>> b690979995ddbb4086e6237ab383e988794aecce
